Location,Account,Campaign,Platform
20 miles around Lat: 29.3 Long: -94.8,CGDR,Nationwide,BING
20 miles around Lat: 29.89 Long: -81.31,CGDR,Nationwide,BING
20 miles around Lat: 33.12 Long: -117.09,CGDR,Nationwide,BING
20 miles around Lat: 33.2 Long: -117.38,CGDR,Nationwide,BING
20 miles around Lat: 34.7 Long: -118.15,CGDR,Nationwide,BING
20 miles around Lat: 35.95 Long: -85.03,CGDR,Nationwide,BING
20 miles around Lat: 36.6 Long: -121.9,CGDR,Nationwide,BING
20 miles around Lat: 36.85 Long: -121.4,CGDR,Nationwide,BING
20 miles around Lat: 38.89 Long: -121.29,CGDR,Nationwide,BING
20 miles around Lat: 39.12 Long: -77.56,CGDR,Nationwide,BING
20 miles around Lat: 42.19 Long: -88.63,CGDR,Nationwide,BING
20 miles around Lat: 43.05 Long: -76.15,CGDR,Nationwide,BING
20 miles around Lat: 44.05 Long: -123.09,CGDR,Nationwide,BING
20 miles around Lat: 44.64 Long: -123.11,CGDR,Nationwide,BING
"20 miles around New Castle, PA",CGDR,Nationwide,BING
"20 miles around St Cloud, Minnesota, United States",CGDR,Nationwide,BING
"20 miles around Tipton, California, United States",CGDR,Nationwide,BING
"22 miles around Clarksburg, PA",CGDR,Nationwide,BING
"25 miles around 23320, Virginia, United States",CGDR,Nationwide,BING
"25 miles around Ednas Mill, VA",CGDR,Nationwide,BING
"25 miles around Glens Falls, New York, United States",CGDR,Nationwide,BING
25 miles around Lat: 26.12 Long: -80.14,CGDR,Nationwide,BING
25 miles around Lat: 26.14 Long: -81.8,CGDR,Nationwide,BING
25 miles around Lat: 26.71 Long: -80.05,CGDR,Nationwide,BING
25 miles around Lat: 27.1 Long: -82.45,CGDR,Nationwide,BING
