Location,Account,Campaign,Platform
"92211, California, United States",CGDR,Nationwide (CA),GOOGLE
"91362, California, United States",CGDR,Nationwide (CA),GOOGLE
"92056, California, United States",CGDR,Nationwide (CA),GOOGLE
"93256, California, United States",CGDR,Nationwide (CA),GOOGLE
"93445, California, United States",CGDR,Nationwide (CA),GOOGLE
"94027, California, United States",CGDR,Nationwide (CA),GOOGLE
"93460, California, United States",CGDR,Nationwide (CA),GOOGLE
"95361, California, United States",CGDR,Nationwide (CA),GOOGLE
"94021, California, United States",CGDR,Nationwide (CA),GOOGLE
"95829, California, United States",CGDR,Nationwide (CA),GOOGLE
"92399, California, United States",CGDR,Nationwide (CA),GOOGLE
"92801, California, United States",CGDR,Nationwide (CA),GOOGLE
"91306, California, United States",CGDR,Nationwide (CA),GOOGLE
"94960, California, United States",CGDR,Nationwide (CA),GOOGLE
"94530, California, United States",CGDR,Nationwide (CA),GOOGLE
"94043, California, United States",CGDR,Nationwide (CA),GOOGLE
"93720, California, United States",CGDR,Nationwide (CA),GOOGLE
"94005, California, United States",CGDR,Nationwide (CA),GOOGLE
"93950, California, United States",CGDR,Nationwide (CA),GOOGLE
"95017, California, United States",CGDR,Nationwide (CA),GOOGLE
"95826, California, United States",CGDR,Nationwide (CA),GOOGLE
"94568, California, United States",CGDR,Nationwide (CA),GOOGLE
"91723, California, United States",CGDR,Nationwide (CA),GOOGLE
"90002, California, United States",CGDR,Nationwide (CA),GOOGLE
"90601, California, United States",CGDR,Nationwide (CA),GOOGLE
"95205, California, United States",CGDR,Nationwide (CA),GOOGLE
"95682, California, United States",CGDR,Nationwide (CA),GOOGLE
"91423, California, United States",CGDR,Nationwide (CA),GOOGLE
"92651, California, United States",CGDR,Nationwide (CA),GOOGLE
"91316, California, United States",CGDR,Nationwide (CA),GOOGLE
"92264, California, United States",CGDR,Nationwide (CA),GOOGLE
"92104, California, United States",CGDR,Nationwide (CA),GOOGLE
"92626, California, United States",CGDR,Nationwide (CA),GOOGLE
"90602, California, United States",CGDR,Nationwide (CA),GOOGLE
"94582, California, United States",CGDR,Nationwide (CA),GOOGLE
"94551, California, United States",CGDR,Nationwide (CA),GOOGLE
"94577, California, United States",CGDR,Nationwide (CA),GOOGLE
"94024, California, United States",CGDR,Nationwide (CA),GOOGLE
"92253, California, United States",CGDR,Nationwide (CA),GOOGLE
"90065, California, United States",CGDR,Nationwide (CA),GOOGLE
"95066, California, United States",CGDR,Nationwide (CA),GOOGLE
"95123, California, United States",CGDR,Nationwide (CA),GOOGLE
"92111, California, United States",CGDR,Nationwide (CA),GOOGLE
"90405, California, United States",CGDR,Nationwide (CA),GOOGLE
"92344, California, United States",CGDR,Nationwide (CA),GOOGLE
